Date,AAPL,AMZN,KO,MSFT,NKE
"2012-06-15",20.504642,218.350006,38.044998,30.02,25.4375
"2012-06-18",20.920713,222.660004,37.990002,29.84,25.35
"2012-06-19",20.97893,224.029999,37.869999,30.700001,25.385
"2012-06-20",20.919285,223.020004,37.779999,30.93,25.299999
"2012-06-21",20.631071,220.570007,37.334999,30.139999,24.665001
"2012-06-22",20.789286,222.160004,37.470001,30.700001,24.85
"2012-06-25",20.384644,220.070007,37.384998,29.870001,24.365
"2012-06-26",20.429644,225.610001,37.540001,30.02,24.612499
"2012-06-27",20.517857,225.619995,38.169998,30.17,24.5275
"2012-06-28",20.323214,221.309998,38.285,29.91,24.2225
"2012-06-29",20.857143,228.350006,39.095001,30.59,21.945
"2012-07-02",21.161428,229.320007,39.459999,30.559999,22.2125
"2012-07-03",21.407499,229.529999,39.580002,30.76,22.620001
"2012-07-05",21.783571,227.059998,39.224998,30.700001,23.049999
"2012-07-06",21.638571,225.050003,39.075001,30.190001,22.844999
"2012-07-09",21.924643,225.050003,38.990002,30,22.57
"2012-07-10",21.721786,219.5,38.990002,29.74,22.8225
"2012-07-11",21.586786,218.369995,38.73,29.299999,23.065001
"2012-07-12",21.389286,215.360001,38.32,28.629999,22.955
"2012-07-13",21.606071,218.389999,38.639999,29.389999,23.4925
"2012-07-16",21.675358,216.009995,38.240002,29.440001,23.254999
"2012-07-17",21.676428,216.929993,38.845001,29.66,23.190001
"2012-07-18",21.652143,217.470001,38.720001,30.450001,23.657499
"2012-07-19",21.940001,226.169998,38.775002,30.67,23.815001
"2012-07-20",21.582144,228.289993,38.514999,30.120001,23.27
"2012-07-23",21.565357,226.009995,38.439999,29.280001,23.2125
"2012-07-24",21.461428,223.039993,38.330002,29.15,23.24
"2012-07-25",20.534643,217.050003,38.509998,28.83,23.377501
"2012-07-26",20.531429,220.009995,39.424999,29.16,24.145
"2012-07-27",20.898571,237.320007,40.005001,29.76,24.2575
"2012-07-30",21.251072,236.089996,40.560001,29.639999,23.9625
"2012-07-31",21.812857,233.300003,40.400002,29.469999,23.3375
"2012-08-01",21.671785,232.089996,40.505001,29.41,23.25
"2012-08-02",21.706785,230.809998,39.875,29.190001,23.135
"2012-08-03",21.989286,234.970001,40.415001,29.75,23.6425
"2012-08-06",22.233929,233.990005,40.32,29.950001,23.879999
"2012-08-07",22.175358,236.559998,39.884998,30.26,24.0425
"2012-08-08",22.137857,234.380005,39.779999,30.33,23.975
"2012-08-09",22.168928,234.059998,39.619999,30.5,23.764999
"2012-08-10",22.203571,232.75,39.395,30.42,23.625
"2012-08-13",22.5,232.440002,39.299999,30.389999,23.9625
"2012-08-14",22.560358,233.190002,39.380001,30.129999,23.727501
"2012-08-15",22.529642,237.419998,39.349998,30.200001,23.555
"2012-08-16",22.726429,241.550003,39.549999,30.780001,23.695
"2012-08-17",23.146786,241.169998,39.529999,30.9,24.065001
"2012-08-20",23.755358,240.350006,39.470001,30.74,23.942499
"2012-08-21",23.430714,239.449997,39.259998,30.799999,23.9625
"2012-08-22",23.888214,243.100006,38.77,30.540001,23.942499
"2012-08-23",23.665358,241.199997,38.110001,30.26,23.862499
"2012-08-24",23.686428,245.740005,38.470001,30.559999,24.215
"2012-08-27",24.131428,243.919998,38.169998,30.690001,24.1075
"2012-08-28",24.1,246.110001,38,30.629999,24.717501
"2012-08-29",24.0525,247.119995,37.459999,30.65,24.672501
